symbol,funding_time,funding_rate,mark_price
ETHUSDT,2021-01-01 00:00:00.002000+00:00,0.00034491,
ETHUSDT,2021-01-01 08:00:00.006000+00:00,0.00061141,
ETHUSDT,2021-01-01 16:00:00.003000+00:00,0.00056803,
ETHUSDT,2021-01-02 00:00:00+00:00,0.00025572,
ETHUSDT,2021-01-02 08:00:00+00:00,0.00049233,
ETHUSDT,2021-01-02 16:00:00.006000+00:00,0.00109186,
ETHUSDT,2021-01-03 00:00:00.018000+00:00,0.00062004,
ETHUSDT,2021-01-03 08:00:00+00:00,0.00074404,
ETHUSDT,2021-01-03 16:00:00.002000+00:00,0.00171498,
ETHUSDT,2021-01-04 00:00:00+00:00,0.00295549,
ETHUSDT,2021-01-04 08:00:00+00:00,0.00375,
ETHUSDT,2021-01-04 16:00:00+00:00,0.00085432,
ETHUSDT,2021-01-05 00:00:00.020000+00:00,0.00102541,
ETHUSDT,2021-01-05 08:00:00.003000+00:00,0.0004305,
ETHUSDT,2021-01-05 16:00:00.003000+00:00,0.00102796,
ETHUSDT,2021-01-06 00:00:00.010000+00:00,0.0018218,
ETHUSDT,2021-01-06 08:00:00.003000+00:00,0.00222459,
ETHUSDT,2021-01-06 16:00:00+00:00,0.00253317,
ETHUSDT,2021-01-07 00:00:00.007000+00:00,0.00114512,
ETHUSDT,2021-01-07 08:00:00+00:00,0.00165953,
ETHUSDT,2021-01-07 16:00:00.004000+00:00,0.00176605,
ETHUSDT,2021-01-08 00:00:00+00:00,0.00171757,
ETHUSDT,2021-01-08 08:00:00+00:00,0.00077262,
ETHUSDT,2021-01-08 16:00:00+00:00,0.00137534,
ETHUSDT,2021-01-09 00:00:00.009000+00:00,0.0006769,
ETHUSDT,2021-01-09 08:00:00.004000+00:00,0.00068612,
ETHUSDT,2021-01-09 16:00:00+00:00,0.00156908,
ETHUSDT,2021-01-10 00:00:00+00:00,0.00340522,
ETHUSDT,2021-01-10 08:00:00.005000+00:00,0.00202919,
ETHUSDT,2021-01-10 16:00:00+00:00,0.00126049,
ETHUSDT,2021-01-11 00:00:00+00:00,0.00177547,
ETHUSDT,2021-01-11 08:00:00.012000+00:00,0.0006624,
ETHUSDT,2021-01-11 16:00:00+00:00,0.00039691,
ETHUSDT,2021-01-12 00:00:00+00:00,0.0001,
ETHUSDT,2021-01-12 08:00:00+00:00,0.00045084,
ETHUSDT,2021-01-12 16:00:00.008000+00:00,0.00058059,
ETHUSDT,2021-01-13 00:00:00.001000+00:00,0.00037339,
ETHUSDT,2021-01-13 08:00:00+00:00,0.0001184,
ETHUSDT,2021-01-13 16:00:00.003000+00:00,0.00040496,
ETHUSDT,2021-01-14 00:00:00+00:00,0.00054804,
ETHUSDT,2021-01-14 08:00:00.012000+00:00,0.0005229,
ETHUSDT,2021-01-14 16:00:00+00:00,0.0007165,
ETHUSDT,2021-01-15 00:00:00.002000+00:00,0.00027278,
ETHUSDT,2021-01-15 08:00:00+00:00,0.00055774,
ETHUSDT,2021-01-15 16:00:00.004000+00:00,0.00087472,
ETHUSDT,2021-01-16 00:00:00+00:00,0.00014675,
ETHUSDT,2021-01-16 08:00:00.008000+00:00,0.00054404,
ETHUSDT,2021-01-16 16:00:00+00:00,0.00152456,
ETHUSDT,2021-01-17 00:00:00.009000+00:00,0.00106467,
ETHUSDT,2021-01-17 08:00:00+00:00,0.00050098,
ETHUSDT,2021-01-17 16:00:00.001000+00:00,0.00051088,
ETHUSDT,2021-01-18 00:00:00+00:00,0.00109082,
ETHUSDT,2021-01-18 08:00:00.004000+00:00,0.00028606,
ETHUSDT,2021-01-18 16:00:00+00:00,0.00109269,
ETHUSDT,2021-01-19 00:00:00+00:00,0.00121462,
ETHUSDT,2021-01-19 08:00:00.005000+00:00,0.00197982,
ETHUSDT,2021-01-19 16:00:00.012000+00:00,0.00199604,
ETHUSDT,2021-01-20 00:00:00.012000+00:00,0.00153883,
ETHUSDT,2021-01-20 08:00:00.001000+00:00,0.00072796,
ETHUSDT,2021-01-20 16:00:00.001000+00:00,0.00048461,
ETHUSDT,2021-01-21 00:00:00+00:00,0.00034937,
ETHUSDT,2021-01-21 08:00:00+00:00,0.00065753,
ETHUSDT,2021-01-21 16:00:00.004000+00:00,0.00037547,
ETHUSDT,2021-01-22 00:00:00.012000+00:00,0.00020251,
ETHUSDT,2021-01-22 08:00:00.003000+00:00,0.00016737,
ETHUSDT,2021-01-22 16:00:00.001000+00:00,0.0001,
ETHUSDT,2021-01-23 00:00:00+00:00,0.00015431,
ETHUSDT,2021-01-23 08:00:00.002000+00:00,0.00020659,
ETHUSDT,2021-01-23 16:00:00+00:00,0.00028319,
ETHUSDT,2021-01-24 00:00:00.001000+00:00,0.00093097,
ETHUSDT,2021-01-24 08:00:00.011000+00:00,0.00058705,
ETHUSDT,2021-01-24 16:00:00.005000+00:00,0.00094274,
ETHUSDT,2021-01-25 00:00:00.007000+00:00,0.00050723,
ETHUSDT,2021-01-25 08:00:00.012000+00:00,0.00105754,
ETHUSDT,2021-01-25 16:00:00+00:00,0.00093264,
ETHUSDT,2021-01-26 00:00:00.007000+00:00,0.00034093,
ETHUSDT,2021-01-26 08:00:00+00:00,0.00031895,
ETHUSDT,2021-01-26 16:00:00+00:00,0.0001,
ETHUSDT,2021-01-27 00:00:00+00:00,0.00036342,
ETHUSDT,2021-01-27 08:00:00.011000+00:00,0.0001,
ETHUSDT,2021-01-27 16:00:00.003000+00:00,0.0001,
ETHUSDT,2021-01-28 00:00:00+00:00,0.00014794,
ETHUSDT,2021-01-28 08:00:00+00:00,0.0001,
ETHUSDT,2021-01-28 16:00:00+00:00,0.00056884,
ETHUSDT,2021-01-29 00:00:00.009000+00:00,0.00112844,
ETHUSDT,2021-01-29 08:00:00+00:00,0.00061388,
ETHUSDT,2021-01-29 16:00:00+00:00,0.00241392,
ETHUSDT,2021-01-30 00:00:00+00:00,0.00094051,
ETHUSDT,2021-01-30 08:00:00+00:00,0.00037882,
ETHUSDT,2021-01-30 16:00:00+00:00,0.00072777,
ETHUSDT,2021-01-31 00:00:00.009000+00:00,0.00115111,
ETHUSDT,2021-01-31 08:00:00+00:00,0.00113497,
ETHUSDT,2021-01-31 16:00:00+00:00,0.00072236,
ETHUSDT,2021-02-01 00:00:00.001000+00:00,0.00025014,
ETHUSDT,2021-02-01 08:00:00.014000+00:00,0.00055359,
ETHUSDT,2021-02-01 16:00:00+00:00,0.00061764,
ETHUSDT,2021-02-02 00:00:00+00:00,0.00050304,
ETHUSDT,2021-02-02 08:00:00.006000+00:00,0.00120708,
ETHUSDT,2021-02-02 16:00:00+00:00,0.00165937,
ETHUSDT,2021-02-03 00:00:00.009000+00:00,0.00151935,
ETHUSDT,2021-02-03 08:00:00.006000+00:00,0.00155522,
ETHUSDT,2021-02-03 16:00:00.006000+00:00,0.00167923,
ETHUSDT,2021-02-04 00:00:00.005000+00:00,0.00146092,
ETHUSDT,2021-02-04 08:00:00+00:00,0.00135459,
ETHUSDT,2021-02-04 16:00:00.011000+00:00,0.00145079,
ETHUSDT,2021-02-05 00:00:00.009000+00:00,0.00113736,
ETHUSDT,2021-02-05 08:00:00.004000+00:00,0.0017643,
ETHUSDT,2021-02-05 16:00:00+00:00,0.00155465,
ETHUSDT,2021-02-06 00:00:00.008000+00:00,0.00117123,
ETHUSDT,2021-02-06 08:00:00.009000+00:00,0.00107002,
ETHUSDT,2021-02-06 16:00:00+00:00,0.00143968,
ETHUSDT,2021-02-07 00:00:00+00:00,0.00171115,
ETHUSDT,2021-02-07 08:00:00.005000+00:00,0.00051183,
ETHUSDT,2021-02-07 16:00:00.001000+00:00,0.00065683,
ETHUSDT,2021-02-08 00:00:00+00:00,0.0001,
ETHUSDT,2021-02-08 08:00:00.001000+00:00,0.00039877,
ETHUSDT,2021-02-08 16:00:00+00:00,0.00284408,
ETHUSDT,2021-02-09 00:00:00.010000+00:00,0.00227548,
ETHUSDT,2021-02-09 08:00:00.006000+00:00,0.00193315,
ETHUSDT,2021-02-09 16:00:00.007000+00:00,0.00143234,
ETHUSDT,2021-02-10 00:00:00.009000+00:00,0.00156788,
ETHUSDT,2021-02-10 08:00:00.014000+00:00,0.00218071,
ETHUSDT,2021-02-10 16:00:00.005000+00:00,0.00085146,
ETHUSDT,2021-02-11 00:00:00+00:00,0.00071884,
ETHUSDT,2021-02-11 08:00:00+00:00,0.00065956,
ETHUSDT,2021-02-11 16:00:00+00:00,0.00180566,
ETHUSDT,2021-02-12 00:00:00+00:00,0.00092117,
ETHUSDT,2021-02-12 08:00:00+00:00,0.00050482,
ETHUSDT,2021-02-12 16:00:00+00:00,0.00153886,
ETHUSDT,2021-02-13 00:00:00.001000+00:00,0.00228313,
ETHUSDT,2021-02-13 08:00:00.003000+00:00,0.00173035,
ETHUSDT,2021-02-13 16:00:00+00:00,0.00094692,
ETHUSDT,2021-02-14 00:00:00.013000+00:00,0.00110785,
ETHUSDT,2021-02-14 08:00:00+00:00,0.00176822,
