date,signal_date,symbol,leg,action,side,qty,price,trade_value,fee
2021-01-02,2021-01-01,ETHUSDT,spot,OPEN,BUY,1246.2858687055186,729.0557819999999,908611.9186046511,363.44476744186045
2021-01-02,2021-01-01,ETHUSDT,perp,OPEN,SELL,1244.9365938853493,729.55406,908248.5465116279,363.2994186046512
2021-01-03,2021-01-02,ETHUSDT,spot,REBALANCE,SELL,72.02569380829004,774.285112,55768.422397229566,22.30736895889183
2021-01-03,2021-01-02,ETHUSDT,perp,REBALANCE,BUY,71.5854767205451,775.1950079999999,55492.70419906677,22.19708167962671
2021-01-04,2021-01-03,ETHUSDT,spot,REBALANCE,SELL,243.4189882079803,978.1343340000001,238096.4699137667,95.23858796550668
2021-01-04,2021-01-03,ETHUSDT,perp,REBALANCE,BUY,244.3141991213938,980.426046,239532.0042262448,95.81280169049793
2021-01-05,2021-01-04,ETHUSDT,spot,REBALANCE,SELL,50.33354572481733,1041.24171,52409.387220871984,20.963754888348795
2021-01-05,2021-01-04,ETHUSDT,perp,REBALANCE,BUY,49.93894016703314,1043.3286239999998,52102.725728489,20.841090291395602
2021-01-06,2021-01-05,ETHUSDT,spot,REBALANCE,SELL,44.6903430509675,1099.9399680000001,49156.69450539022,19.662677802156086
2021-01-06,2021-01-05,ETHUSDT,perp,REBALANCE,BUY,44.138286539421415,1101.510258,48618.77539371601,19.447510157486406
2021-01-07,2021-01-06,ETHUSDT,spot,REBALANCE,SELL,72.45212628736522,1208.50825,87558.99234832275,35.0235969393291
2021-01-07,2021-01-06,ETHUSDT,perp,REBALANCE,BUY,74.25658724369282,1213.222596,90089.76954589349,36.0359078183574
2021-01-08,2021-01-07,ETHUSDT,spot,REBALANCE,SELL,6.049084960675145,1224.615028,7407.800348491572,2.963120139396629
2021-01-08,2021-01-07,ETHUSDT,perp,REBALANCE,BUY,5.0157868525216145,1227.7455,6158.109737142576,2.4632438948570305
2021-01-09,2021-01-08,ETHUSDT,spot,REBALANCE,BUY,6.08225096857237,1216.963344,7401.87647776107,2.9607505911044285
2021-01-09,2021-01-08,ETHUSDT,perp,REBALANCE,SELL,6.438278305085873,1218.30629,7843.794955856659,3.1375179823426635
2021-01-10,2021-01-09,ETHUSDT,spot,REBALANCE,SELL,32.62882055824514,1275.7448,41626.04815731433,16.650419262925734
2021-01-10,2021-01-09,ETHUSDT,perp,REBALANCE,BUY,33.616967316306614,1280.215992,43036.97916087705,17.21479166435082
2021-01-11,2021-01-10,ETHUSDT,spot,REBALANCE,BUY,17.265489041102,1254.490848,21659.397988306755,8.663759195322703
2021-01-11,2021-01-10,ETHUSDT,perp,REBALANCE,SELL,17.320241019655214,1257.69841,21783.63959123714,8.713455836494857
2021-01-12,2021-01-11,ETHUSDT,spot,REBALANCE,BUY,0.6781372844154798,1087.2174,737.2826552052585,0.29491306208210344
2021-01-12,2021-01-11,ETHUSDT,perp,REBALANCE,SELL,0.6913927301852709,1086.6226319999998,751.2829882195848,0.30051319528783393
2021-01-13,2021-01-12,ETHUSDT,spot,REBALANCE,BUY,6.655061473875468e-17,1050.570072,6.991608411773776e-14,2.7966433647095107e-17
2021-01-14,2021-01-13,ETHUSDT,spot,REBALANCE,BUY,6.23674846395105e-33,1130.015958,7.047625290296675e-30,2.8190501161186702e-33
2021-01-15,2021-01-14,ETHUSDT,spot,REBALANCE,BUY,0.0,1232.1363780000001,0.0,0.0
2021-01-16,2021-01-15,ETHUSDT,spot,REBALANCE,BUY,0.0,1168.713696,0.0,0.0
2021-01-17,2021-01-16,ETHUSDT,spot,REBALANCE,BUY,0.0,1228.075566,0.0,0.0
2021-01-18,2021-01-17,ETHUSDT,spot,REBALANCE,BUY,0.0,1232.7465,0.0,0.0
2021-01-19,2021-01-18,ETHUSDT,spot,REBALANCE,BUY,0.0,1258.771704,0.0,0.0
2021-01-20,2021-01-19,ETHUSDT,spot,REBALANCE,SELL,48.35212775769048,1365.086928,66004.85754300923,26.401943017203696
2021-01-20,2021-01-19,ETHUSDT,perp,REBALANCE,BUY,47.193874055657034,1367.6534760000002,64544.865898125565,25.81794635925023
2021-01-21,2021-01-20,ETHUSDT,spot,REBALANCE,SELL,4.304475383219369,1376.4446560000001,5924.872138115853,2.3699488552463412
2021-01-21,2021-01-20,ETHUSDT,perp,REBALANCE,BUY,4.536570339080981,1379.505846,6258.225303552416,2.503290121420967
2021-01-22,2021-01-21,ETHUSDT,spot,REBALANCE,BUY,5.322892808807044,1112.202396,5920.134135606364,2.3680536542425457
2021-01-22,2021-01-21,ETHUSDT,perp,REBALANCE,SELL,5.366958000725731,1111.597636,5965.897826118008,2.3863591304472034
2021-01-23,2021-01-22,ETHUSDT,spot,REBALANCE,BUY,0.0,1232.8565219999998,0.0,0.0
2021-01-24,2021-01-23,ETHUSDT,spot,REBALANCE,BUY,0.0,1233.706692,0.0,0.0
2021-01-25,2021-01-24,ETHUSDT,spot,REBALANCE,SELL,9.999683614704054,1391.911562,13918.675239648526,5.56747009585941
2021-01-25,2021-01-24,ETHUSDT,perp,REBALANCE,BUY,9.788634465873656,1394.508846,13650.337352921299,5.46013494116852
2021-01-26,2021-01-25,ETHUSDT,spot,REBALANCE,BUY,10.553099422352936,1317.8635199999999,13907.544751652005,5.563017900660802
2021-01-26,2021-01-25,ETHUSDT,perp,REBALANCE,SELL,10.679657455265328,1318.266294,14078.632454742095,5.631452981896839
2021-01-27,2021-01-26,ETHUSDT,spot,REBALANCE,BUY,9.41208239806204e-16,1366.813308,1.2864559477663749e-12,5.1458237910655e-16
2021-01-28,2021-01-27,ETHUSDT,spot,REBALANCE,BUY,1.5033667760562977e-32,1239.177786,1.8629387130994008e-29,7.451754852397603e-33
2021-01-29,2021-01-28,ETHUSDT,spot,REBALANCE,BUY,0.0,1329.705888,0.0,0.0
2021-01-30,2021-01-29,ETHUSDT,spot,REBALANCE,BUY,0.0,1379.835912,0.0,0.0
2021-01-31,2021-01-30,ETHUSDT,spot,REBALANCE,BUY,0.0,1378.3156079999999,0.0,0.0
2021-02-01,2021-01-31,ETHUSDT,spot,REBALANCE,BUY,0.0,1312.7124900000001,0.0,0.0
2021-02-02,2021-02-01,ETHUSDT,spot,REBALANCE,BUY,0.0,1374.3648179999998,0.0,0.0
2021-02-03,2021-02-02,ETHUSDT,spot,REBALANCE,SELL,55.58592312963697,1511.627614,84025.21635244055,33.61008654097622
2021-02-03,2021-02-02,ETHUSDT,perp,REBALANCE,BUY,56.521148103213704,1516.50324,85714.50422704344,34.28580169081737
2021-02-04,2021-02-03,ETHUSDT,spot,REBALANCE,SELL,55.665325346618374,1664.337066,92645.86426532627,37.05834570613051
2021-02-04,2021-02-03,ETHUSDT,perp,REBALANCE,BUY,54.352027256355086,1666.43322,90574.02379433556,36.229609517734225
2021-02-05,2021-02-04,ETHUSDT,spot,REBALANCE,BUY,28.25867304488247,1595.849106,45096.57811542199,18.038631246168794
2021-02-05,2021-02-04,ETHUSDT,perp,REBALANCE,SELL,28.610520550785623,1595.6108140000001,45651.255985002776,18.26050239400111
2021-02-06,2021-02-05,ETHUSDT,spot,REBALANCE,SELL,42.67718837365396,1718.6062100000001,73345.2809643015,29.338112385720603
2021-02-06,2021-02-05,ETHUSDT,perp,REBALANCE,BUY,43.21851791739664,1721.374206,74395.24196455542,29.75809678582217
2021-02-07,2021-02-06,ETHUSDT,spot,REBALANCE,BUY,16.267754111834165,1676.68527,27275.903695294277,10.91036147811771
2021-02-07,2021-02-06,ETHUSDT,perp,REBALANCE,SELL,15.895147106615127,1679.0441240000002,26688.653349477736,10.675461339791095
2021-02-08,2021-02-07,ETHUSDT,spot,REBALANCE,BUY,0.48266793103820843,1611.782292,777.9556241636616,0.31118224966546465
